Designator,Mid X,Mid Y,Rotation,Layer
C1,133.4,-86.0,180.0,top
C10,48.0,-48.8,180.0,top
C11,44.45,-87.0,270.0,top
C12,133.225,-87.75,180.0,top
C13,53.4,-94.225,90.0,top
C14,132.77475,-103.662752,180.0,top
C15,56.6,-94.0,90.0,top
C16,130.725,-95.85,0.0,top
C17,130.19975,-111.812752,0.0,top
C18,133.725,-97.1,180.0,top
C19,133.17475,-112.8,180.0,top
C2,132.99975,-101.912752,180.0,top
C20,53.25,-116.775,90.0,top
C21,54.75,-108.975,90.0,top
C22,56.77,-108.0,180.0,top
C23,66.48,-120.5,0.0,top
C24,53.34,-98.285,270.0,top
C25,56.275,-105.5,180.0,top
C26,66.975,-122.75,0.0,top
C27,50.0,-116.95,90.0,top
C28,51.5,-108.55,90.0,top
C29,56.25,-98.3,270.0,top
C3,52.23,-133.0,0.0,top
C30,49.0,-120.0,270.0,top
C31,54.25,-104.73,270.0,top
C32,67.23,-124.25,0.0,top
C33,127.0,-96.75,270.0,top
C34,51.25,-120.0,270.0,top
C35,130.29975,-101.912752,90.0,top
C36,130.7,-86.35,90.0,top
C37,56.75,-122.725,270.0,top
C38,58.52,-121.0,180.0,top
C39,68.0,-109.52,90.0,top
C4,52.02,-129.5,0.0,top
C40,54.52,-121.75,180.0,top
C41,54.75,-112.775,90.0,top
C42,68.5,-119.025,270.0,top
C43,58.975,-123.5,180.0,top
C44,70.5,-108.975,90.0,top
C45,54.48,-124.0,180.0,top
C46,59.02,-126.25,180.0,top
C47,73.25,-109.02,90.0,top
C48,51.75,-112.5,90.0,top
C49,66.975,-107.75,0.0,top
C5,129.7,-98.75,0.0,top
C50,119.5,-130.95,270.0,top
C51,117.5,-130.775,270.0,top
C52,118.8,-58.15,90.0,top
C53,126.3,-58.05,90.0,top
C54,103.8,-58.3,90.0,top
C55,111.3,-58.3,90.0,top
C56,123.05,-60.3,90.0,top
C57,130.8,-60.4,90.0,top
C58,108.05,-60.3,90.0,top
C59,115.3,-60.3,90.0,top
C6,129.89975,-114.812752,0.0,top
C60,47.83,-53.25,180.0,top
C61,44.58,-53.25,180.0,top
C62,62.43,-53.3,180.0,top
C63,59.18,-53.3,180.0,top
C64,77.08,-53.4,180.0,top
C65,73.78,-53.35,180.0,top
C66,92.4812,-53.3408,180.0,top
C67,89.0776,-53.4424,180.0,top
C68,65.2,-90.27,90.0,top
C69,64.05,-87.92,270.0,top
C7,127.04975,-111.812752,90.0,top
C70,79.55,-90.28,90.0,top
C71,78.45,-87.92,270.0,top
C72,94.15,-90.33,90.0,top
C73,93.0,-87.96,270.0,top
C74,109.0,-90.38,90.0,top
C75,107.85,-88.06,270.0,top
C76,55.18,-53.3,180.0,top
C77,51.88,-53.3,180.0,top
C78,69.73,-53.3,180.0,top
C79,66.48,-53.3,180.0,top
C8,133.2,-98.9,180.0,top
C80,84.356,-53.34,180.0,top
C81,81.2408,-53.4508,180.0,top
C82,99.0852,-53.3916,180.0,top
C83,95.6816,-53.3916,180.0,top
C84,72.35,-90.23,90.0,top
C85,71.2,-87.82,270.0,top
C86,86.85,-90.38,90.0,top
C87,85.7,-87.97,270.0,top
C88,101.45,-90.43,90.0,top
C89,100.3,-88.01,270.0,top
C9,133.29975,-115.75,180.0,top
C90,116.25,-90.43,90.0,top
C91,115.1,-88.09,270.0,top
D1,47.925,-46.4,0.0,top
D2,136.5,-133.7375,90.0,top
D3,138.4,-133.7375,90.0,top
D4,60.4,-82.2875,90.0,top
R1,59.7125,-129.25,180.0,top
R10,129.55,-119.3625,270.0,top
R100,75.3875,-98.7,180.0,top
R101,75.3625,-88.05,180.0,top
R102,89.9125,-98.75,180.0,top
R103,89.9125,-88.1,180.0,top
R104,104.8125,-98.85,180.0,top
R105,104.7625,-88.2,180.0,top
R106,119.3125,-98.8,180.0,top
R107,119.3125,-88.25,180.0,top
R108,75.4125,-95.15,180.0,top
R109,75.3625,-91.6,180.0,top
R11,125.9,-119.3875,270.0,top
R110,89.9125,-95.25,180.0,top
R111,89.9125,-91.65,180.0,top
R112,104.7625,-95.3,180.0,top
R113,104.7625,-91.75,180.0,top
R114,119.2875,-95.35,180.0,top
R115,119.3125,-91.8,180.0,top
R12,122.125,-74.9125,270.0,top
R13,131.525,-74.9125,270.0,top
R14,103.35,-74.9875,270.0,top
R15,112.75,-74.9875,270.0,top
R16,122.8375,-64.44,180.0,top
R17,132.0125,-64.65,180.0,top
R18,103.8375,-64.45,180.0,top
R19,113.2375,-64.45,180.0,top
R2,49.25,-122.925,270.0,top
R20,120.3375,-52.35,0.0,top
R21,127.5875,-52.35,0.0,top
R22,105.3375,-52.35,0.0,top
R23,112.8375,-52.35,0.0,top
R24,127.125,-74.9875,270.0,top
R25,136.725,-74.9875,270.0,top
R26,108.35,-74.9875,270.0,top
R27,117.75,-74.9875,270.0,top
R28,126.6125,-64.44,0.0,top
R29,136.0375,-64.45,0.0,top
R3,51.575,-123.75,0.0,top
R30,107.8625,-64.45,0.0,top
R31,117.2375,-64.45,0.0,top
R32,122.0125,-55.1,180.0,top
R33,129.55,-55.1,180.0,top
R34,107.0125,-55.35,180.0,top
R35,114.5125,-55.35,180.0,top
R36,47.35,-55.5125,270.0,top
R37,44.1,-55.4875,270.0,top
R38,61.95,-55.5375,270.0,top
R39,58.7,-55.5375,270.0,top
R4,135.5,-127.7375,270.0,top
R40,76.6,-55.7125,270.0,top
R41,73.3,-55.6375,270.0,top
R42,91.2,-55.55,270.0,top
R43,88.0,-55.6375,270.0,top
R44,47.55,-59.5875,270.0,top
R45,43.9,-59.5375,270.0,top
R46,62.15,-59.5875,270.0,top
R47,58.5,-59.5875,270.0,top
R48,76.8,-59.75,270.0,top
R49,73.1,-59.6875,270.0,top
R5,138.4,-127.7375,270.0,top
R50,91.4,-59.8125,270.0,top
R51,87.8,-59.8125,270.0,top
R52,47.55,-64.1625,90.0,top
R53,43.9,-64.1125,90.0,top
R54,62.15,-64.1625,90.0,top
R55,58.5,-64.1625,90.0,top
R56,76.8,-64.3125,90.0,top
R57,73.1,-64.2875,90.0,top
R58,91.4,-64.4125,90.0,top
R59,87.8,-64.4125,90.0,top
R6,58.1,-81.7125,90.0,top
R60,68.0625,-98.75,180.0,top
R61,68.1125,-88.05,180.0,top
R62,82.6125,-98.75,180.0,top
R63,82.6125,-88.1,180.0,top
R64,97.2125,-98.7,180.0,top
R65,97.2125,-88.1,180.0,top
R66,112.0125,-98.9,180.0,top
R67,112.0125,-88.25,180.0,top
R68,68.0875,-95.15,180.0,top
R69,68.1125,-91.6,180.0,top
R7,127.325,-129.0,180.0,top
R70,82.6125,-95.2,180.0,top
R71,82.6125,-91.65,180.0,top
R72,97.2125,-95.2,180.0,top
R73,97.2125,-91.65,180.0,top
R74,112.0125,-95.35,180.0,top
R75,112.0125,-91.8,180.0,top
R76,54.65,-55.5375,270.0,top
R77,51.4,-55.5625,270.0,top
R78,69.25,-55.5625,270.0,top
R79,66.0,-55.5375,270.0,top
R8,132.825,-130.0,0.0,top
R80,83.876,-55.6149,270.0,top
R81,80.7212,-55.7257,270.0,top
R82,98.6,-55.6225,270.0,top
