Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C101, C102, C108, C109, C112, C113, C13, C18, C20, C21, C25, C26, C28, C3, C42, C44, C58, C59, C64, C65, C76, C77, C84, C85, C96, C97",0603,27,10u,C96446
"C10, C2, C4, C9",0402,4,2.2u,C12530
"C100, C107, C68, C83",RVT1V221M0810,4,220uF,C18221522
"C103, C104, C110, C111, C50, C61, C78, C95",0805,8,22u,C45783
"C105, C106, C11, C114, C115, C116, C12, C14, C15, C19, C22, C23, C24, C27, C33, C36, C38, C39, C40, C41, C47, C48, C49, C5, C51, C52, C53, C6, C60, C62, C63, C66, C67, C73, C74, C75, C86, C87, C88, C89, C94, C98, C99",0402,43,100n,C307331
"C16, C17, C34, C35",0402,4,10n,C15195
C29,0402,1,4.7n,C1538
"C30, C31, C45, C46, C54, C55, C56, C57, C69, C70, C71, C72, C79, C80, C81, C82, C90, C91, C92, C93",0402,20,1u,C52923
C32,0402,1,1n,C1523
C37,0402,1,100p,C1546
C43,0402,1,47p,C1567
"C7, C8",0402,2,22p,C1555
CN1,MX126-5.0-02P-GN01-Cu-S-A,1,~,C5188434
"D1, D2, D7, D8",0805,4,LED,C84256
"D3, D4, D5","CUS08F30,H3F",3,~,C150183
D6,SMF20CA,1,~,C42371747
"R1, R10, R11, R14, R19, R2, R20, R25, R3, R4, R5, R6, R7, R74, R8, R81, R9",0805,17,100, C17408
"R12, R13, R21, R26, R27",0402,5,10k,C25744
"R15, R18, R28, R29, R44, R45, R56, R57, R70, R71",0402,10,1k,C11702
"R16, R17",0402,2,2.2k, C25879
"R22, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R46, R47, R48, R49, R50, R51, R52, R53, R54, R55, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R72, R73, R75, R76, R77, R78, R79, R80",0402,45,100k,C25741
"R23, R24",0402,2,5.1k, C25905
"SW1, SW2, SW3",TS110916043,3,~,C22375348
U1,ADAU1452WBCPZ-RL,1,ADAU1452,C462188
"U10, U11, U12, U13, U14, U15, U16, U17, U18, U19, U20, U21, U22, U24, U25, U8, U9",TLV9062IDR,17,~,C398355
"U2, U3",AK4619VN,2,~,C3034747
"U23, U26",K7803-1000_C50396471,2,~,
U4,AMS1117-1.2,1,AMS1117-1.2,C2992568
U5,ESP32-S3-WROOM-1U-N8,1,~,C3013946
U6,ADM811TARTZ-REEL7,1,~,C462205
U7,GT-USB-7010ASV,1,~,C2988369
X1,S47SMD12.288M20PF20R30B3,1,12.288MHz,C5346044
