Designator,Mid X,Mid Y,Rotation,Layer
C1,113.9,-75.325,270.0,top
C10,92.1,-84.63,90.0,top
C100,65.1,-30.395,90.0,top
C101,76.5,-79.25,0.0,top
C102,76.475,-54.25,0.0,top
C103,58.95,-35.1,180.0,top
C104,82.45,-42.3,0.0,top
C105,81.5,-73.05,180.0,top
C106,76.3,-57.29,0.0,top
C107,46.7,-30.4,90.0,top
C108,76.5,-77.75,0.0,top
C109,76.475,-50.75,0.0,top
C11,111.2,-84.32,90.0,top
C110,53.05,-33.8,180.0,top
C111,50.55,-37.2,180.0,top
C112,73.0,-67.35,0.0,top
C113,76.475,-49.25,0.0,top
C114,75.42,-67.6,180.0,top
C115,83.27,-56.9,0.0,top
C116,37.2,-43.72,90.0,top
C12,93.4,-84.63,90.0,top
C13,115.9,-84.825,90.0,top
C14,105.98,-59.6,0.0,top
C15,105.46,-66.02,270.0,top
C16,103.18,-67.7,0.0,top
C17,94.58,-55.4,0.0,top
C18,98.2,-85.075,270.0,top
C19,82.62,-45.575,0.0,top
C2,111.7,-75.72,270.0,top
C20,108.6,-84.775,90.0,top
C21,90.25,-83.95,270.0,top
C22,103.18,-68.7,0.0,top
C23,94.58,-54.4,0.0,top
C24,112.2,-84.32,90.0,top
C25,109.56,-58.725,270.0,top
C26,108.735,-64.1,0.0,top
C27,94.4,-84.63,90.0,top
C28,80.7,-47.475,90.0,top
C29,107.84,-58.71,0.0,top
C3,97.2,-75.05,270.0,top
C30,103.18,-69.7,0.0,top
C31,94.58,-53.4,0.0,top
C32,107.84,-57.71,0.0,top
C33,105.46,-56.28,90.0,top
C34,103.34,-55.4,180.0,top
C35,92.56,-65.98,90.0,top
C36,105.36,-63.8,270.0,top
C37,105.46,-58.18,90.0,top
C38,81.0,-50.03,270.0,top
C39,92.46,-57.18,90.0,top
C4,94.05,-76.02,270.0,top
C40,103.34,-54.4,180.0,top
C41,91.56,-65.98,90.0,top
C42,107.96,-66.325,270.0,top
C43,106.46,-58.2,90.0,top
C44,95.475,-48.0,0.0,top
C45,103.34,-53.4,180.0,top
C46,90.56,-65.98,90.0,top
C47,94.34,-67.8,180.0,top
C48,94.7,-29.28,90.0,top
C49,120.42,-44.7,0.0,top
C5,112.7,-75.72,270.0,top
C50,94.05,-26.0,180.0,top
C51,91.9,-37.92,90.0,top
C52,95.9,-28.02,90.0,top
C53,95.9,-39.98,90.0,top
C54,45.12,-73.07,180.0,top
C55,45.12,-81.92,180.0,top
C56,45.18,-54.95,180.0,top
C57,45.13,-63.8,180.0,top
C58,61.375,-80.8,0.0,top
C59,61.35,-62.65,0.0,top
C6,95.5,-75.9,270.0,top
C60,40.18,-36.3,180.0,top
C61,52.85,-29.0,180.0,top
C62,50.2,-80.49,270.0,top
C63,50.25,-62.57,270.0,top
C64,61.375,-79.3,0.0,top
C65,61.35,-61.15,0.0,top
C66,66.33,-73.05,180.0,top
C67,66.38,-55.0,180.0,top
C68,37.8,-30.4,90.0,top
C69,50.57,-67.62,180.0,top
C7,109.26,-56.28,90.0,top
C70,50.67,-76.47,180.0,top
C71,45.17,-51.15,180.0,top
C72,45.17,-52.1,180.0,top
C73,54.35,-76.92,270.0,top
C74,53.98,-58.45,180.0,top
C75,72.32,-27.3,0.0,top
C76,61.375,-77.8,0.0,top
C77,61.35,-58.65,0.0,top
C78,83.85,-34.8,180.0,top
C79,29.53,-72.98,180.0,top
C8,112.34,-50.2,0.0,top
C80,29.52,-81.83,180.0,top
C81,29.55,-55.05,180.0,top
C82,29.52,-63.95,180.0,top
C83,77.7,-30.4,90.0,top
C84,57.8,-67.25,0.0,top
C85,57.875,-49.3,0.0,top
C86,60.28,-67.5,180.0,top
C87,60.3,-49.55,180.0,top
C88,34.65,-80.47,270.0,top
C89,38.38,-58.55,180.0,top
C9,109.9,-84.32,90.0,top
C90,35.08,-67.58,180.0,top
C91,35.17,-76.43,180.0,top
C92,29.57,-51.25,180.0,top
C93,29.57,-52.2,180.0,top
C94,58.48,-32.3,180.0,top
C95,58.95,-29.5,180.0,top
C96,76.5,-80.75,0.0,top
C97,76.475,-55.75,0.0,top
C98,38.85,-76.9,270.0,top
C99,34.6,-62.53,270.0,top
CN1,29.1,-37.8,270.0,top
D1,115.6625,-66.4,180.0,top
D2,117.0,-27.1625,270.0,top
D3,34.3,-37.6,270.0,top
D4,71.4,-25.9,0.0,top
D5,53.9,-26.0,180.0,top
D6,58.175,-26.1,180.0,top
